,Info,Ticker,Exchange,Ratio
104,Etsy Inc.,ETSY,NASDAQ,16:01:00
105,Exxon Mobil Corporation,XOM,NYSE,10:01:00
106,"Fed. Natl, Mortgage - Fannie Mae",FNMA,OTC,01:01:00
107,Fedex Corp,FDX,NYSE,10:01:00
108,Ferrari,RACE,NYSE,"3 days, 11:01:00"
109,FINANCIAL SELECT SECTOR SPDR FUND,XLF,NYSE Arca,02:01:00
110,First Solar Inc.,FSLR,NASDAQ,18:01:00
111,Fomento Economico Mexicano - Femsa,FMX,NYSE,06:01:00
112,Ford Motor Company,F,NYSE,01:01:00
113,Freddie Mac (Federal Home Loan),FMCC,OTC,01:01:00
114,Freeport Mcmoran Copper & Gold Inc.,FCX,NYSE,03:01:00
115,Garmin Ltd.,GRMN,NASDAQ,03:01:00
116,General Electric Co.,GE,NYSE,08:01:00
117,General Motors Co,GM,NYSE,06:01:00
118,Geopark Ltd. GPRK,GPRK,NYSE,01:01:00
119,Gerdau S.A.,GGB,NYSE,01:04:00
120,"Gilead Sciences, Inc.",GILD,NASDAQ,04:01:00
121,Globant S.A.,GLOB,NYSE,18:01:00
122,Gold Fields Ltd.,GFI,NYSE,01:01:00
123,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",PAC,NYSE,16:01:00
124,"Grupo Aeroportuario Del Sureste , S.A.B. de C.V.",ASR,NYSE,20:01:00
125,Grupo Televisa S.A.,TV,NYSE,03:01:00
126,GSK Plc.,GSK,NYSE,04:01:00
127,Halliburton Co.,HAL,NYSE,02:01:00
128,Hapvida Participacoes E Investimentos S.A.,HAPV3,B3,01:01:00
129,Harley-Davidson Inc.,HOG,NYSE,03:01:00
130,Harmony Gold Mining Company Ltd.,HMY,NYSE,01:01:00
131,Hdfc Bank Limited.,HDB,NYSE,02:01:00
132,Hecla Mining Co .,HL,NYSE,01:01:00
133,Hon Hai Precision Industry Co. Ltd.,HHPD,LONDON STOCK EXCHANGE,02:01:00
134,Honda Motor Co. Ltd,HMC,NYSE,01:01:00
135,Honeywell International Inc.,HON,NYSE,08:01:00
136,Howmet Aerospace Inc.,HWM,NYSE,01:01:00
137,Hp Inc,HPQ,NYSE,01:01:00
138,Hsbc Holdings Plc,HSBC,NYSE,02:01:00
139,Huaneng Power Intl,HNPIY,NYSE,01:01:00
140,Hut 8 Mining Corp. HUT,HUT,NASDAQ GS,01:05:00
141,Icici Bank Ltd.,IBN,NYSE,01:01:00
142,Infosys Limited,INFY,NASDAQ,01:01:00
143,Ing Groep Nv,ING,NYSE,03:01:00
